url	short_title	label	code	confidence	rationale	evidence
https://arxiv.org/abs/2601.19944	Classifier Calibration at Scale	wheat	P4	high	Empirical study of post-hoc calibration incl Venn-Abers using proper scores; honest no-method-dominates	"distribution-free validity under exchangeability"; "no method dominates uniformly"
https://pubs.acs.org/doi/10.1021/ci5001168	CP as Applicability Domain Alternative	wheat	P1	med	CP used to define applicability domain with honest confidence-level interpretation	"confidence level 0.8 means at most 20% errors"
https://arxiv.org/abs/2007.10438	Conditional calibration FDR under dependence	wheat	P4	high	Finite-sample FDR control via conditional calibration under dependence; correct theory	"finite-sample false discovery rate control with dependent test statistics"
https://link.springer.com/chapter/10.1007/978-3-662-44722-2_29	Trajectory Anomaly Detection via CP	wheat	P3	med	Conformal anomaly detection with p-values and avg-p efficiency criterion; distribution-free test	"kernel density as non-conformity measure; average p-value as efficiency"
https://link.springer.com/chapter/10.1007/978-3-662-44722-2_25	Aggregated Conformal Prediction	wheat	P4	med	Ensemble CP for efficiency; community acknowledges validity is empirical not fully theoretical	"aggregated conformal predictors improve efficiency; validity empirical"
https://arxiv.org/abs/2001.09225	Strong validity consonance and CP	wheat	P4	high	Theory linking CP to consonant plausibility/imprecise probability; honest validity proofs	"Type-2 validity via consonant plausibility contour function"
https://arxiv.org/pdf/2010.07147.pdf	Distribution-Free Test of Covariate Shift via CP	wheat	P3	high	Conformal p-values for distribution-free covariate-shift test with valid Type-I control	"valid inference for conditional distributional testing without model specification"
http://proceedings.mlr.press/v105/morsomme19a/morsomme19a.pdf	CP for Students Grades Recommender	wheat	P1	med	ICP intervals for grade prediction; reports valid intervals with width as reliability	"prediction intervals constructed with ICM are valid; width gives reliability"
https://papers.nips.cc/paper/2021/hash/46c7cb50b373877fb2f8d5c4517bb969-Abstract.html	Locally Valid Discriminative Intervals	borderline	A4	med	Claims finite-sample local coverage guarantees; relaxed local notion but framed as conditional validity	"finite-sample local coverage guarantees (contrasted to marginal)"
https://arxiv.org/pdf/2201.12006.pdf	Improving Expert Predictions with CP	wheat	P5	high	Prediction sets as decision-support deliverable to improve expert performance; honest tradeoff	"provides sets via CP; trade-off miscoverage with set size to help experts"
https://arxiv.org/pdf/1912.06116.pdf	E-values calibration combination applications	wheat	P4	high	Theory of e-values, calibration and combination; correct by construction	"calibration and combination of e-values and applications"
https://proceedings.mlr.press/v139/xu21h.html	Conformal interval for dynamic time-series (EnbPI)	wheat	P4	high	Beyond-exchangeability method for time-series; approx marginal coverage, exchangeability dropped honestly	"does not require data exchangeability; finite-sample approximately valid marginal coverage"
https://arxiv.org/pdf/2207.01609.pdf	Recommendation systems with distribution-free reliability guarantees	wheat	P1	Set-of-items is the deliverable with finite-sample FDR control, distribution-free, honest about guarantee	"return a set of items rigorously guaranteed to contain mostly good items"; "finite-sample control of the false discovery rate regardless of the unknown data distribution"
https://arxiv.org/pdf/2206.06584.pdf	Probabilistic Conformal Prediction Using Conditional Random Samples	wheat	P4	Methodology paper; new CP variant with proven finite-sample marginal coverage, claims sharper sets not quality	"PCP guarantees correct marginal coverage with finite samples"; "provides sharper predictive sets"
https://arxiv.org/pdf/2208.08401.pdf	Conformal Inference for Online Prediction with Arbitrary Distribution Shifts	wheat	P4	Beyond-exchangeability theory; adaptive CP for online shift with provable regret bounds, honest framing	"adaptive to both size and type of distribution shift"; "provably small regret over all local time intervals"
https://www.sciencedirect.com/science/article/pii/S0925231219316170	Audio-visual domain adaptation using conditional semi-supervised GANs	unclear	NA	Paper does not use conformal prediction at all; GAN-based cross-modal emotion-recognition domain adaptation	"semi-supervised adversarial network for knowledge transfer from labeled videos to audio domain"; no CP content
