arxiv_id,title,year,label,note
2508.11345v1,Conformal Prediction Meets Long-tail Classification,2025,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2205.03647v2,Training-conditional coverage for distribution-free predictive inference,2022,TERMINAL,conformal sets/intervals/calibration are the final deliverable
1903.04684v2,The limits of distribution-free conditional predictive inference,2019,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2512.07770v2,Distribution-informed Online Conformal Prediction,2025,TERMINAL,models-scores-but-terminal: estimates CDF of nonconformity scores online to tighten sets
2403.03868v3,Confidence on the Focal: Conformal Prediction with Selection-Conditional Coverage,2024,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2312.15799v2,Efficient Conformal Prediction under Data Heterogeneity,2023,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2310.07850v5,Conformal prediction with local weights: randomization enables local guarantees,2023,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2210.10161v1,Nonparametric Quantile Regression: Non-Crossing Constraints and Conformal Prediction,2022,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2512.03547v1,Learning-Based Hierarchical Approach for Fast Mixed-Integer Optimization,2025,TERMINAL,conformal certifies out-of-sample performance of learned MIP solutions; guarantee is the deliverable
2202.07282v1,Adaptive Conformal Predictions for Time Series,2022,TERMINAL,models-scores-but-terminal: adaptive conformal (AgACI) expert aggregation over ACI learning rates
2509.25692v1,Annotation-Efficient Active Test-Time Adaptation with Conformal Prediction,2025,UNCLEAR,conformal uncertainty drives annotation selection and staged self-training updates in test-time adaptation; conformal output gates further training but the calibrated stream itself is not modeled
2512.06945v2,Symmetric Aggregation of Conformity Scores for Efficient Uncertainty Sets,2025,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2605.24848v1,Distributional Conformal Prediction for Markov Processes,2026,TERMINAL,PIT-transforms Markov data to i.i.d. BEFORE conformal (transform-then-conformalize); conformal interval is final
2504.15722v1,From predictions to confidence intervals: an empirical study of conformal prediction methods for in-context learning,2025,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2110.00816v2,Calibrated Multiple-Output Quantile Regression with Representation Learning,2021,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2506.05583v2,Conformal Prediction Adaptive to Unknown Subpopulation Shifts,2025,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2411.01596v1,Strategic Conformal Prediction,2024,TERMINAL,conformal sets/intervals/calibration are the final deliverable
1908.03569v1,Concepts and Applications of Conformal Prediction in Computational Drug Discovery,2019,TERMINAL,conformal sets/intervals/calibration are the final deliverable
1905.07886v2,Conformal Prediction Interval Estimations with an Application to Day-Ahead and Intraday Power Markets,2019,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2110.13031v1,Applying Regression Conformal Prediction with Nearest Neighbors to time series data,2021,TERMINAL,conformal sets/intervals/calibration are the final deliverable
2309.12510v1,Confidence Calibration for Systems with Cascaded Predictive Modules,2023,TERMINAL,composes module-level calibration into system-level intervals; intervals are final output
