arxiv_id,title,year,primary_category,label,evidence,checked
2608.17678v1,Conformal Prediction for Molecular Properties under Label Shift,2026,cs.LG,,,
2608.15768v1,Temporal Graph Prototype-conditioned Conformal Prediction for Fraud Detection,2026,cs.LG,,,
2608.15500v1,Generalized Hierarchical Conformal Prediction,2026,stat.ME,,,
2608.13819v1,Control Barrier--Value Functions under Partial Observability: Safety Guarantees via Conformal Prediction,2026,eess.SY,,,
2608.10553v1,Retrieval-Corrected Conformal Prediction for Time Series,2026,cs.LG,,,
2608.09612v1,Local conformal prediction for individual causal effects,2026,stat.ME,,,
2608.09166v1,Particle-Based Conformal Prediction for Contact-Aware Uncertainty Calibration in Stratified Configuration Spaces,2026,cs.RO,,,
2608.07139v1,Online Conformal Prediction Beyond Feedback,2026,cs.LG,,,
2608.06206v1,Beyond Marginal Validity: Finite-Sample Guarantees for Localized Conformal Prediction,2026,stat.ML,,,
2608.05439v1,SCP-NL2TL: Selective Conformal Prediction with Semantic Verification for Natural Language to Temporal Logic Specifications,2026,cs.AI,,,
2608.07589v2,Distribution-Free Conformal Prediction for Steel Fatigue Strength: Marginal Validity Is Not Enough,2026,stat.AP,,,
2608.01494v1,Conformal Kelly: Conformal Prediction Intervals as the Scale in Fractional Kelly Position Sizing,2026,q-fin.PM,,,
2607.27143v1,Cost-Sensitive Conformal Prediction and Human-in-the-Loop Abstention for Imbalanced High-Stakes Decision Support: A Multi-Domain Benchmark,2026,cs.LG,,,
2607.26577v1,Simultaneous Coverage and Efficiency Guarantee in Online Conformal Prediction,2026,cs.LG,,,
2607.25273v1,HeAD-CP: Heterophily-Aware Diffused Conformal Prediction Sets for Graph Neural Networks,2026,cs.LG,,,
2607.23165v1,Adaptive Multi-Scale Forecasting and Gate-Localized Conformal Prediction for Multivariate Nonstationary Time Series,2026,stat.ML,,,
2607.20736v1,Conformal Prediction for Regression with Clipped Outcomes,2026,stat.ME,,,
2607.17297v1,Multi-Granularity Conformal Prediction for Reliable Neural-Operator Automotive Aerodynamic Surrogates,2026,physics.flu-dyn,,,
2607.16704v1,Though Language Models Err While They Strive: Conformal Prediction for Self-Correcting Scientific Generation,2026,cs.CL,,,
2607.16675v1,Isotonic Conformal Prediction,2026,stat.ML,,,
2607.11470v1,Climate-Invariant Conformal Prediction Intervals for Multi-Horizon Solar and Wind Forecasting,2026,stat.AP,,,
